language                      Francais
game_menu_balance_quit_help   Reequilibrer les equipes equitablement si quelqu'un en quitte une?

game_menu_balance_ais_text    Equilibre avec les IA:
game_menu_balance_ais_help    Faire des equipes aussi fortes l'une que l'autre en ajoutant un ou plusieurs IA dans l'equipe la plus faible?

game_menu_imb_perm_text       Desequilibre permanent max:
game_menu_imb_perm_help       Difference maximum toleree de maniere permanente concernant l'equilibre des forces des equipes; peut ne pas etre respecte durant une courte periode

game_menu_imb_text            Desequilibre temporaire max:
game_menu_imb_help            Difference maximum toleree temporairement cocnernant l'equilibre des forces des equipes

game_menu_max_players_text    Nb max de joueurs/equipe:
game_menu_max_players_help    Nombre maximum de joueurs par equipe

game_menu_min_players_text    Nb min de joueurs/equipe:
game_menu_min_players_help    Nombre minimum de joueurs dans chaque equipe ( des IA coppleteront l'equipe si elle ne contient pas assez de joueurs )

game_menu_max_teams_text      Nb max d'equipes:
game_menu_max_teams_help      Nombre maximum d'equipes

game_menu_min_teams_text      Nb min d'equipes:
game_menu_min_teams_help      Nombre minimum d'equipes

game_menu_wallstayup_text     Duree des murs:
game_menu_wallstayup_help     Duree durant laquelle les murs restent en place apres qu'un joueur soit mort

game_menu_wallstayup_infinite_text Infinie
game_menu_wallstayup_infinite_help les murs restent toujours la

game_menu_wallstayup_immediate_text Immediate
game_menu_wallstayup_immediate_help Les murs disparaissent des qu'un joueur se crashe

game_menu_wallstayup_halfsecond_text 1/2s
game_menu_wallstayup_halfsecond_help Les murs disparaissent apres une demi-seconde

game_menu_wallstayup_second_text 1s
game_menu_wallstayup_second_help Les murs disparaissent apres une seconde

game_menu_wallstayup_2second_text 2s
game_menu_wallstayup_2second_help Les murs disparaissent apres deux secondes

game_menu_wallstayup_4second_text 4s
game_menu_wallstayup_4second_help Les murs disparaissent apres quatres secondes

game_menu_wallstayup_8second_text 8s
game_menu_wallstayup_8second_help Les murs disparaissent apres huit secondes

game_menu_wallstayup_16second_text 16s
game_menu_wallstayup_16second_help Les murs disparaissent apres seize secondes

game_menu_wallstayup_32second_text 32s
game_menu_wallstayup_32second_help Les murs disparaissent apres trente-deux secondes

game_menu_wallslength_text    Longueur des murs:
game_menu_wallslength_help    Longueur des murs des motos, en metres

game_menu_wallslength_infinite_text Infinie
game_menu_wallslength_infinite_help Les murs ont une longueur infinie

game_menu_wallslength_25meter_text 25m
game_menu_wallslength_25meter_help Les murs sont longs de vingt-cinq metres

game_menu_wallslength_50meter_text 50m
game_menu_wallslength_50meter_help Les murs sont longs de cinquante metres

game_menu_wallslength_100meter_text 100m
game_menu_wallslength_100meter_help Les murs sont longs de cent metres

game_menu_wallslength_200meter_text 200m
game_menu_wallslength_200meter_help Les murs sont longs de deux cent metres

game_menu_wallslength_300meter_text 300m
game_menu_wallslength_300meter_help Les murs sont longs de trois cent metres

game_menu_wallslength_400meter_text 400m
game_menu_wallslength_400meter_help Les murs sont longs de quatre cent metres

game_menu_wallslength_600meter_text 600m
game_menu_wallslength_600meter_help Les murs sont longs de six cent metres

game_menu_wallslength_800meter_text 800m
game_menu_wallslength_800meter_help Les murs sont longs de huit cent metres

game_menu_wallslength_1200meter_text 1200m
game_menu_wallslength_1200meter_help Les murs sont longs d'un kilometre 200

game_menu_wallslength_1600meter_text 1600m
game_menu_wallslength_1600meter_help Les murs sont longs d'un kilometre 600

game_menu_wallslength_2400meter_text 2400m
game_menu_wallslength_2400meter_help Les murs sont longs de deux kilometres 400

game_menu_exrad_text          Onde de choc:
game_menu_exrad_help          Rayon destructeur de l'explosion d'une moto: les murs touches par ce rayon seront detruits

game_menu_exrad_0_text        Aucune
game_menu_exrad_0_help        Pas de destruction

game_menu_exrad_2meters_text  2m
game_menu_exrad_2meters_help  L'explosion atteindra un rayon de deux metres

game_menu_exrad_4meters_text  4m
game_menu_exrad_4meters_help  L'explosion atteindra un rayon de quatre metres

game_menu_exrad_8meters_text  8m
game_menu_exrad_8meters_help  L'explosion atteindra un rayon de huit metres

game_menu_exrad_16meters_text 16m
game_menu_exrad_16meters_help L'explosion atteindra un rayon de seize metres

game_menu_exrad_32meters_text 32m
game_menu_exrad_32meters_help L'explosion atteindra un rayon de trente-deux metres

game_menu_exrad_64meters_text 64m
game_menu_exrad_64meters_help L'explosion atteindra un rayon de soixante-quatre metres

game_menu_exrad_128meters_text 128m
game_menu_exrad_128meters_help L'explosion atteindra un rayon de cent vingt-huit metres

game_menu_wz_mr_text          Activ. "Instant Win Zone"
game_menu_wz_mr_help          Duree minimum ( en secondes ) apres laquelle la "Instant Win Zone" sera activee

game_menu_wz_ld_text          "Instant Win Zone" ap. mort
game_menu_wz_ld_help          Duree minimum ( en secondes ) a partir du dernier crash, avant l'activation de la "Instant Win Zone"


#********************************************
#********************************************
#
#             network menus
#
#********************************************
#********************************************

#network game menu
network_menu_lan_text         Jeu en reseau local
network_menu_lan_help         Se connecter ou creer un serveur dans un reseau local.

network_menu_internet_text    Jeu en reseau via Internet
network_menu_internet_help    Se connecter a un serveur Web ou en creer un.

network_opts_text             Configuration: reseau
network_opts_help             Configurer vos preferences concernant les reseaux.

#network options
network_opts_pingchar_text    Ping:
network_opts_pingchar_help    Le ping maximum ( en ms ), que vous pouvez obtenir des autres joueurs. \g reduira leur ping et augmentera le votre, jusqu'a ce que les pings soient egaux, ou que le transfert maximum accepte soit depasse

network_opts_lagometer_text   Lagmetre:
network_opts_lagometer_help   Dans un jeu en reseau, l'endroit ou les autres joueurs peuvent deja etre maintenant ( mais vous ne le voyez pas encore a cause du retardement du reseau ) est indique sous forme d'une figure geometrique. Utile lors d'un jeu sur Internet
network_opts_predict_text     Prevision:
network_opts_predict_help     Dans un jeu en reseau, extrapole le mouvement des motos. La laisser desactivee donnera des meilleurs graphismes, l'activer donnera une meilleure image de la situation; le lagmetre est un bon substitut pour les previsions. Toujours desactive en mode serveur

network_opts_inrate_text      Taux d'entree:
network_opts_inrate_help      Le nombre maximum de kilo-octets que votre reseau peut recevoir par seconde. 1 pour les modems 9.6K ( seulement un jeu limite est possible), 3 pour les 28.8K ( d'habitude aucun problemes ), 7 pour les 56K, 8 pour l'ISDN, et plus pour les liaisons par cable, (A)DSL et LAN

network_opts_outrate_text     Taux de sortie:
network_opts_outrate_help     Le nombre maximum de kilo-octets que votre reseau peut envoyer par seconde. Mettez-le a 2 ou 3 si vous ne voulez pas agir comme un serveur. Plus de bande passante n'est jamais utilise.


network_opts_deletepw_text    Supprimer les mots de passe
network_opts_deletepw_help    Cette fonction supprime tous les mots de passe stockes 
network_opts_deletepw_complete Mots de passe supprimes!

network_opts_minport_text     Port min.:
network_opts_minport_help     Le plus petit port reseau balaye lors de la recherche d'un serveur LAN

network_opts_maxport_text     Port max.:
network_opts_maxport_help     Le plus grand port reseau balaye lors de la recherche d'un serveur LAN.

network_opts_master_text      Envoi au Maitre:
network_opts_master_help      Voulez-vous l'annoncer au serveur Maitre si vous lancez un serveur? Si vous l'activez et que vous etes connecte a Internet, attendez-vous a ce que quelques personnes l'utilisent


#network custom join menu
network_custjoin_text         connection perso.
network_custjoin_help         Vous permet de vous connecter manuellement a un serveur.

network_custjoin_port_text    Port du serveur:
network_custjoin_port_help    Le port que le serveur reseau utilise; doit correspondre a l'ensemble des options du serveur auquel vous voulez vous connecter

network_custjoin_name_text    Nom du serveur:
network_custjoin_name_help    Le nom ou l'adresse IP du serveur auquel vous voulez vous connecter

#network host menu
network_host_text             Heberger un jeu en reseau
network_host_help             Demarrer un serveur

network_host_name_text        Nom du serveur:
network_host_name_help        Le nom du serveur qui apparaitra dans le navigateur de serveurs. Choisissez celui qui vous plait: un jeu en reseau fonctionnera avec n'importe quel nom

network_host_port_text        Port du serveur:
network_host_port_help        Le port reseau que ce serveur utilisera.

network_host_host_text        Heberger le jeu!
network_host_host_help        Entre dans l'arene! Les autres joueurs pourront venir via l'option "Se connecter a un serveur"

bookmarks_menu_edit_connect_help Entre dans l'arene!


#********************************************
#********************************************
#
#             "Misc Stuff" menu
#
#********************************************
#********************************************

misc_menu_text                Autres options
misc_menu_help                Options diverses qui n'ont pas leur place ailleurs.

misc_global_key_text          Configuration globale du clavier
misc_global_key_help          Certaines configuration du clavier independantes du joueur courant

misc_menuwrap_text            Mouvements de la selection:
misc_menuwrap_help            Que se passe-t-il lorsque vous etes tout en haut d'un menu et que vous appuyez sur "Haut"?

misc_textout_text             Affichage des textes:
misc_textout_help             Affiche ou non les textes a l'ecran ( chat, infos, etc. ). D'office sur ON pour les jeux en reseau

misc_moviepack_text           Moviepack:
misc_moviepack_help           Si l'option est activee et que le moviepack est installe, \g affichera des graphismes plus proche de ceux du film.


#*************************************
#*************************************
#
#    language menu
#
#*************************************
#*************************************

language_first_help           La langue que \g utilisera
language_second_help          La langue secondaire est utilisee si la premiere n'est pas disponible

language_menu_title           Configuration: langue
language_menu_help            Choisissez la langue de tous les textes affiches a l'ecran

language_menu_item_fist       Langage principale:
language_menu_item_first_help \g affichera les textes dans cette langue. Utiliser les fleches gauche/droite pour changer

language_menu_item_second     Langue secondaire:
language_menu_item_second_help Si la langue principale n'est pas disponible pour certains textes, \g les affichera dans cette langue-la (ndlr:conseil, laissez English). Gauche/droite pour changer

#*************************************
#*************************************
#
#       police menu
#
#*************************************
#*************************************

player_police_text            "Moderation"
player_police_help            Permet de faire taire un joueur ou de lancer un vote pour le bannir

player_police_silence_text    Faire taire qqn
player_police_silence_help    Permet d'empecher a un spammeur de chatter sur ce serveur

ignore_player_help            Si cette option est activee, les messages (chat) de ce joueur ne seront plus affiches.
ignore_player_text            Faire taire \1

player_police_kick_text       Bannir qqn
player_police_kick_help       Lance un vote pour "mettre qqn a la porte"

kick_player_text              Bannir \1
kick_player_help              Appuyer sur enter ou espace lancera un vote pour la bannissement de ce joueur.

#*************************************
#*************************************
#
#       vote menu
#
#*************************************
#*************************************

voting_menu_text              Vote
voting_menu_help              Votes inacheves

vote_approve                  Approuve
vote_approve_help             En selectionnant ceci, vous etes "pour".

vote_dont_mind                Sans avis
vote_dont_mind_help           Ceci equivaut a un vote blanc.

vote_reject                   Desapprouve
vote_reject_help              En selectionnant ceci, vous etes "contre".

#*************************************
#*************************************
#
#       player menus
#
#*************************************
#*************************************

#player menu

player_menu_text              Configuration du joueur \1 
player_menu_help              Controle de la moto et de la camera du joueur \1

viewport_menu_title           Vues
viewport_menu_help            Voulez-vous jouer seul ou diviser l'ecran pour un jeu multijoueur?

viewport_conf_text            Types de vues: 
viewport_conf_name_0          Un seul joueur
viewport_conf_name_1          Separation horizontale
viewport_conf_name_2          Separation verticale
viewport_conf_name_3          3 joueurs, Version A
viewport_conf_name_4          3 joueurs, Version B
viewport_conf_name_5          4 joueurs

viewport_belongs_text         La vue \1 est assignee au joueur \2 (\3)

viewport_assign_text          Assigner des vues aux joueurs
viewport_assign_help          Qui se trouve dans quelle partie de l'ecran?       

#player setup

player_name_text              Nom:
player_name_help              Le... dans la phrase "Gagnant: ... ". utilisez les touches gauche/droite, backspace (<-), delete (suppr.), espace et toutes les touches alphanumeriques.

player_input_text             Configuration des touches
player_input_help             Configure le controle du clavier et/ou de la souris pour ce joueur

input_for_player              Configuration des controles du joueur \1: \2

player_camera_input_text      Configuration du controle de la camera
player_camera_input_help      Configure les touches du clavier et la souris pour les deplacements de la camera.

camera_controls               Controle de la camera de \1

player_camera_text            Configuration: camera
player_camera_help            Configure vos preferences pour la camera

player_chat_text              Configuration du chat

player_chat_chat              Chat \1: 
player_blue_text              Bleu:
player_blue_help              Vous permet de choisir le composant bleu de votre couleur.

player_green_text             Vert:
player_green_help             Vous permet de choisir le composant vert de votre couleur.

player_red_text               Rouge:
player_red_help               Vous permet de choisir le composant rouge de votre couleur

player_spectator_text         Mode spectateur:
player_spectator_help         En mode spectateur, vous ne controlez pas de moto; vous voyez juste le jeu comme si vous etiez mort. Les autres ne savent pas que vous etes la, vous n'apparaissez pas dans le tableau du score

player_name_team_text         Nom equipe % joueur:
player_name_team_help         Vous pouvez choisir votre methode preferee pour nommer votre equipe: ON donnera a l'equipe le nom du leader ( le premier joueur a en avoir fait partie ), OFF lui donnera simplement le nom d'une couleur

player_num_per_team_text      Joueurs par equipe:
player_num_per_team_help      Indiquez votre nombre prefere de joueurs par equipe. Lorsque vous entrez dans un jeu ou la plus petite equipe a moins de joueurs que le nombre specifie ici, vous rejoignez cette equipe. Sinon, vous formez une nouvelle equipe. Seul le comportement par defaut est specifie ici: vous pouvez changer d'equipe plus tard


#camera prefs menu

player_camera_initial_text    Camera initiale:
player_camera_initial_help    Choisissez votre perspective preferee pour la camera.

player_camera_initial_int_text Interne
player_camera_initial_int_help Le jeu est vu depuis l'interieur du vehicule.

player_camera_initial_smrt_text Futee
player_camera_initial_smrt_help Ce type de camera essaie de vous donner la meilleure vision possible du jeu

player_camera_initial_ext_text Externe
player_camera_initial_ext_help Une camera externe fixe.

player_camera_initial_free_text Flottante
player_camera_initial_free_help Une camera se deplacant librement.

player_camera_initial_cust_text Personnalisee
player_camera_initial_cust_help Une camera fixe configurable par rapport a la position de la moto.

player_camera_initial_scust_text Serveur
player_camera_initial_scust_help Une camera fixe configurable par rapport a la moto, configuree par l'administrateur du serveur.

player_camera_fov_text        CdV initial:
player_camera_fov_help        Choisissez votre champs de vision prefere.

player_camera_incam_text      Permettre cam.interne:
player_camera_incam_help      Lorsque vous appuyez sur le bouton de changement de vue, ceci active la vue interne.

player_camera_free_text       Permettre cam.flottante:
player_camera_free_help       Lorsque vous appuyez sur le bouton de changement de vue, ceci active la camera flottante.

player_camera_fixed_text      Permettre cam.fixe:
player_camera_fixed_help      Lorsque vous appuyez sur le bouton de changement de vue, ceci active la camera externe fixe.

player_camera_smartcam_text   Permettre cam.futee:
player_camera_smartcam_help   Lorsque vous appuyez sur le bouton de changement de vue, ceci active la camera futee ( une camera qui essaie de vous donner le meilleur angle de vue possible )..

player_camera_custom_text     Permettre cam.perso.:
player_camera_custom_help     Lorsque vous appuyez sur le bouton de changement de vue, ceci active la camera personnalisee ( configurable via "settings.cfg". )

player_camera_server_custom_text Permettre cam.serveur:
player_camera_server_custom_help Lorsque vous appuyez sur le bouton de changement de vue, ceci active la vue definie par l'admin du serveur ( donfigurable via le "settings.cfg" du serveur )


player_camera_center_int_text Centrer la cam.interne:
player_camera_center_int_help ON = chaque fois que vous tournez, la camera fera face a la nouvelle direction. \nOFF = Vous seul decidez de l'orientation de la camera: celle-ci sera independante de votre direction. Utile si vous voulez utiliser le systeme de vue a la Quake

player_camera_wobble_text     Mouvements de la cam.interne:
player_camera_wobble_help     ON = la camera interne bouge en meme temps que lui: ca peut donner le mal de mer:s \nOff = la camera reste fixe, dans la position dans laquelle vous l'avez orientee

player_camera_autoin_text     Cam.Interne auto.:
player_camera_autoin_help     ON: la camera externe change avec l'interne si vous vous trouvez dans un tunnel. \nOff: La camera externe remonte si vous vous trouvez dans un tunnel

# team menu
team_menu_title               Menu Equipe
team_menu_help                Permet aux joueurs de changer d'equipes ou d'en creer une.

team_menu_player_title        Choisir une equipe pour \1
team_menu_player_help         Permet a ce joueur de prendre des decisions en rapport avec l'equipe

team_menu_join                Rejoindre \1
team_menu_join_help           Le joueur actuel rejoindra l'equipe specifiee au prochain round

team_menu_create              Creer une equipe
team_menu_create_help         Cree une nouvelle equipe contenant le joueur actuel

team_owned_by                 Equipe de \1
team_ai                       Equipe des IA 
team_empty                    Equipe vide

team_name_blue                Equipe bleue
team_name_gold                Equipe jaune
team_name_red                 Equipe rouge
team_name_green               Equipe verte
team_name_violet              Equipe violette
team_name_ugly                Equipe indigo
team_name_white               Equipe blanche
team_name_black               Equipe noire

#********************************************
#********************************************
#
#             sound menu
#
#********************************************
#********************************************

sound_menu_text               Configuration: son
sound_menu_help               Configuration de la qualite du son.

sound_menu_sources_text       Sources sonores:
sound_menu_sources_help       Donne le nombre approximatif de sources a mixer; regler ceci trop bas donneras des sources sonores importantes, qui s'interrompront sans cesse, une valeur trop elevee utilisera trop de puissance du processeur. 6 semble etre une bonne valeur pour les CPU de faible puissance

sound_menu_quality_text       Qualite du son:
sound_menu_quality_help       Selectionne la qualite du son; actuellement, seul les modes 16 bits stereo sont disponibles.

sound_menu_quality_off_text   Off
sound_menu_quality_off_help   Desactive completement le son.

sound_menu_quality_low_text   Basse
sound_menu_quality_low_help   La sortie sonore est de 16 bit 11025 Hz stereo.

sound_menu_quality_medium_text moyenne
sound_menu_quality_medium_help La sortie sonore est de 16 bit 22050 Hz stereo.

sound_menu_quality_high_text  Haute
sound_menu_quality_high_help  La sortie sonore est de 16 bit 44100 Hz stereo.

sound_menu_buffer_text        Taille du buffer:
sound_menu_buffer_help        Choisis la taille du buffer.

sound_menu_buffer_vsmall_text Tres petite
sound_menu_buffer_vsmall_help Latency of about 0.02s, but very high probability of artefacts.

sound_menu_buffer_small_text  Petite
sound_menu_buffer_small_help  Latency below 0.04s, but high probability of artefacts.

sound_menu_buffer_med_text    Normale
sound_menu_buffer_med_help    Latency of about 0.1s, and may still produce artefacts. 

sound_menu_buffer_high_text   Grande
sound_menu_buffer_high_help   Latency of about 0.2s, probably no artefacts.

sound_menu_buffer_vhigh_text  Tres grande
sound_menu_buffer_vhigh_help  Latency of about 0.4s.


#********************************************
#********************************************
#
#             graphics menus
#
#********************************************
#********************************************

#display menu
display_settings_menu         Configurations: Affichage
display_settings_menu_help    Change des options pour votre systeme graphique

screen_mode_menu              Ecran
screen_mode_menu_help         Resolution de l'ecran et autres.

preferences_menu              Preferences
preferences_menu_help         Options qui dependent plus de vos preferences personelles que des performances du systeme

detail_settings_menu          Configuration: details
detail_settings_menu_help     Vous permet d'ajuster les details graphiques pour les performances du systeme

performance_tweaks_menu       Performances
performance_tweaks_menu_help  Configurations qui peuvent ameliorer l'execution du jeu, mais qui ne marche pas sur tous les systemes.

graphics_load_defaults_text   Par defaut
graphics_load_defaults_help   Ceci remettra a toutes les options celles qui correspondent le mieux a votre systeme ( d'apres ce programme stupide )


#feature menuitem
feature_disabled_text         Off
feature_disabled_help         Actuellement desactive.

feature_default_text          Systeme par defaut
feature_default_help          Votre systeme decide que faire de cela

feature_enabled_text          On
feature_enabled_help          Actuellement active.

#texture menuitem
texture_menuitem_help         Change le mode de texturage; note de quelle maniere elle affecte le fond du menu. L'etat actuel est:

texture_off_text              Off
texture_off_help              Pas du tout de textures

texture_nearest_text          Le plus proche
texture_nearest_help          Le plus rapide mais aussi le plus laid: aucun filtrage ou choix du niveau des details. Non recommande

texture_bilinear_text         Bilineaire
texture_bilinear_help         Encore moche: les textures sont filtrees, mais aucun choix du niveau des details. Non recommande

texture_mipmap_nearest_text   Le plus proche (mipmap)
texture_mipmap_nearest_help   Aucun filtrage, mais un choix du niveau des details (mipmap). Si vous utilisez le rendu logiciel et que vous voulez voir des textures, employez ce mode

texture_mipmap_bilinear_text  Bilineaire (mipmap)
texture_mipmap_bilinear_help  Filtrage et choix du niveau des details. Pas super, mais utilisable avec les cartes acceleratrices 3D plus anciennes

texture_mipmap_trilinear_text Trilineaire (mipmap)
texture_mipmap_trilinear_help Filtrage et interpolation entre les niveaux de details. Donne des meilleurs graphismes et est aussi rapide que le Bilineaire (mipmap) sur la plupart des cartes acceleratrices 3D recentes. 


#screen mode menu
screen_resolution_text        Resolution de l'ecran:
screen_resolution_help        Change la resolution de l'ecran. Ces changements seront appliques la prochaine fois que vous lancez \g, ou si vous selectionnez "appliquer les modifications" ci-dessous

window_size_text              Taille de la fenetre:
window_size_help              Change la taille de la fenetre. Ces changements seront appliques la prochaine fois que vous lancez \g, ou si vous selectionnez "appliquer les modifications" ci-dessous

screen_custom_text            Personnalisee
screen_custom_help            modifiez les variables CUSTOM_SCREEN_WIDTH et CUSTOM_SCREEN_HEIGHT dans le fichier artr.cfg (Windows) ou ~/.ArmageTronrc (Linux) pour choisir une resolution d'ecran personnalisee.

screen_fullscreen_text        Plein Ecran:
screen_fullscreen_help        Cela permet de passer du mode plein ecran au mode fenetre et inversement. Comme avec les changements de resolution, vous devrez redemarrer \g Ou selectionner "Appliquer les modifications" pour que les changements prennent effet.

screen_colordepth_text        Profondeur de couleur:
screen_colordepth_help        Choisis la profondeur de couleur que \g utilisera. Vous devrez redemarrer \g ou selectionner "Appliquer les modifications" pour que les changements prennent effet.

screen_colordepth_16_text     16 Bits
screen_colordepth_16_help     Generalement considere comme la basse qualite; mais \g n'utilise pas beaucoup d'effets, donc la plupart du temps c'est bon.

screen_colordepth_desk_text   PAr defaut
screen_colordepth_desk_help   LA profondeur de couleur par defaut de votre systeme: habituellement la meme que celle de votre bureau.

screen_colordepth_32_text     32 Bits
screen_colordepth_32_help     Haute qualite.

screen_zdepth_text            Prondonfeur du Z Buffer:
screen_zdepth_help            Profondeur du z buffer; determine la qualite de la profondeur de l'assortissage. Vous devrez redemarrer \g ou selectionner "Appliquer les modifications" pour que les changements prennent effet.

screen_zdepth_16_text         16 Bits
screen_zdepth_16_help         Non recommande, parcequ'il ne fonctionne pas la majeure partie du temps.

screen_zdepth_desk_text       Par defaut
screen_zdepth_desk_help       Le Z buffer utilise l profondeur de couleurs; c'est la solution la plus compatible

screen_zdepth_32_text         32 Bits
screen_zdepth_32_help         Force le Z buffer a tourner en 32. Si cela fonctionne, cela ameliorera la qualite des couleurs en 16 bits

screen_check_errors_text      Verification des erreurs:
screen_check_errors_help      Devons-nous faire attention aux avertissements concernant des modes video n'existant pas, lors de l'initialisation? Habituellement, vous devez ne pas selectionner cette option

screen_use_sdl_text           Utiliser SDL OpenGL?:
screen_use_sdl_help           Utiliser la methode "propre" pour l'initialisation d'OpenGL? Si non, \g utilisera la methode "sale", necessaire pour SDL 1.0

screen_grab_mouse_text        Centr. la souris:
screen_grab_mouse_help        Si cette option est activee, le pointeur de la souris sera recentre dans la fenetre apres chaque mouvement. De cette maniere, vous ne pourrez pas quitter la fenetre de jeu. Cette option n'est utile qu'en mode fenetre

screen_apply_changes_text     Appliquer les modifications
screen_apply_changes_help     Essaie d'appliquer les modifications sans quitter \g. A utiliser a vos risque et perils (ndlr:Appuyez plusieurs fois sur Esc. s'il y a un plantage)

#detail menu
detail_floor_mirror_text      Sol reflechissant:
detail_floor_mirror_help      Quels objets doivent etre reflechis sur le sol, a la maniere d'un miroir?

detail_floor_mirror_off_text  Off
detail_floor_mirror_off_help  Aucuns

detail_floor_mirror_obj_text  Seulement les objets
detail_floor_mirror_obj_help  Tous les objets se deplacant

detail_floor_mirror_ow_text   Objets & murs
detail_floor_mirror_ow_help   Tout ce qui est important dans le jeu

detail_floor_mirror_ev_text   Tout!
detail_floor_mirror_ev_help   (Actuellement, aucune difference avec "Objets et murs")

detail_dither_text            Melange de coul.:
detail_dither_help            Si la profondeur de couleur actuelle ne permet pas qu'une couleur soit dirrectement affichee, elle est simulee en melangeant d'autres couleurs. Le mettre sur "Off" ameliorera l'execution du rendement logiciel sur quelques machines; en mode basse resolution, le mettre sur "Off" ameliorera meme la qualite des graphismes (IMHO)

detail_floor_text             Details du sol:
detail_floor_help             ArmageTron a plusieurs manieres d'afficher le sol et la grille: le plus joli vous coutera un certain nombre de FPS ( Frames par Seconde )

detail_floor_no_text          Pas de sol
detail_floor_no_help          N'affiche rien du tout. Le plus rapide

detail_floor_grid_text        Juste la grille
detail_floor_grid_help        Seule une grille de lignes est affichee. Ceci sera votre choix si vous utilisez le rendu logiciel

detail_floor_tex_text         Plan avec texture
detail_floor_tex_help         Un plan infini est affiche, avec la structure de la grille dessus. Recommande pour tous les proprietaires de cartes acceleratrices 3D. 

detail_floor_2tex_text        Double plan acev texture
detail_floor_2tex_help        Tout comme dans "Plan avec texture", le sol est un plan infini avec une texture. Mais ici, les deux types de lignes sont affichees dans deux etapes separees du rendu, ayant pour resultat une image beaucoup plus jolie

detail_alpha_text             Couche alpha:
detail_alpha_help             La couche alpha est utilisee pour afficher des objets semitransparents, comme les explosions ou les murs derriere les motos. Ca ne necessite pas beaucoup de ressources sur la plupart des cartes 3D, mais cela ralentit un peu le rendu logiciel

detail_smooth_text            "Nuances lisses":
detail_smooth_help            Les bords semblent arrondis, en ajoutant un degrade de couleurs aux surfaces. M^me le rendu logiciel n'est pas ralenti avec cela!

detail_text_truecolor_text    Textures en "Couleur vraie":
detail_text_truecolor_help    Utilise des textures en mode 32 bits, au lieu du 16 bits traditionnel.

#preferences menu
pref_sparks_text              Etincelles:
pref_sparks_help              Des etincelles rougeoyantes apparaissent chaque fois que vous roulez trop pres d'un mur.

pref_skymove_text             Mouvements du ciel:
pref_skymove_help             Anime le ciel inferieur.

pref_lowersky_text            Ciel inferieur:
pref_lowersky_help            Affiche le plan inferieur du ciel, un nuage de plasma. Utiliser les deux ciels risque de diminuer fortement els performances

pref_uppersky_text            Ciel superieur:
pref_uppersky_help            Affiche le plan superieur du ciel, un plan semblable au sol. Utiliser les deux ciels risque de diminuer fortement els performances

pref_highrim_text             Hauts murs:
pref_highrim_help             Si cela est active, les murs des bords de l'arene seront infiniment grands. Sinon, ils seront aussi haut que les murs des motos.

pref_showhud_text             Afficher  TDB
pref_showhud_help             Si active, le "tableau de bord" sera affiche en mode "Un Seul Joueur".

pref_showfastest_text         Afficher le + rapide (TDB)
pref_showfastest_help         Affiche le joueur le plus rapide dans le jeu (le tableau de bord doit etre active).

pref_showscore_text           Afficher score (TDB)
pref_showscore_help           Affiche votre score dans le TDB (le tableau de bord doit etre active)

pref_showenemies_text         Afficher ennemis (TDB)
pref_showenemies_help         Affiche combien de joueurs sont encore en vie, vous excepte (le tableau de bord doit etre active)

pref_showping_text            Afficher ping (TDB)
pref_showping_help            Affiche le ping dans le TDB (le tableau de bord doit etre active)

pref_showbrake_text           Afficher frein (TDB)
pref_showbrake_help           Affiche votre utilisation de gaz de frein au metre dans le TDB (le tableau de bord doit etre active)

pref_showspeed_text           Afficher vitesse (TDB)
pref_showspeed_help           Affiche votre vitesse dans un compteur du TDB (Lez tableau de bord doit etre active).

pref_showrubber_text          Afficher etat des pneus
pref_showrubber_help          Affiche l'etat des pneus en un metre dans le TDB (le tableau de bord doit etre active)

misc_fps_text                 Afficher FPS (TDB)
misc_fps_help                 Affiche ou non les FPS ( "frames per second", nbe d'images a la seconde ) dans le coin superieur droit de votre ecran (le tableau de bord doit etre active)

#tweaks menu
tweaks_displaylists_text      Listes d'affichage:
tweaks_displaylists_help      Les liste d'affichage sont une propriete d'OpenGL pour afficher la meme chose plusieurs fois; elles sont normalement utilisees pour les motos. Cependant, quelques utilisations ne fonctionnent pas: Si vous ne voyez pas les motos, desactivez ceci.

tweaks_infinity_text          Infini:
tweaks_infinity_help          Quelques plans ( ciel, sol, etc. ) ont une prolongation infinie. Si ceci est active, ils sont vraiment dessines en tant que plans infinis. Quelques rendus d'OpenGL ne semble pas trop apprecier ceci ( toutes les versions de Windows que j'ai vu ). Le desactiver si les textures du sol et/ou du ciel sont deformees


#********************************************
#********************************************
#
#           generic menu texts
#
#********************************************
#********************************************

#menu texts: generic
menuitem_exit_text            Quitter le menu
menuitem_exit_help            Quitte ce menu pour le menu precedent

menuitem_accept               Accepter
menuitem_accept_help          Accepte les reglages de ce menu et continue.

input_item_help               Pour changer, appuyez sur ENTER ou ESPACE. Appuyez ensuite sur la touche ou le bouton de la souris que vous voulez assigner a cette commande. Deplacer la souris fonctionne aussi
input_press_any_key           Appuyez sur une touche! 

menuitem_toggle_on            On
